"antecedent","consequent","support","confidence","lift"
"{other vegetables,whole milk}","{root vegetables}",0.0231825114387392,0.309782608695652,2.84208204899416
"{pip fruit}","{tropical fruit}",0.0204372140315201,0.270161290322581,2.57464756814204
"{root vegetables,whole milk}","{other vegetables}",0.0231825114387392,0.474012474012474,2.44977019543494
"{root vegetables}","{other vegetables}",0.047381799694967,0.434701492537313,2.2466049285888
"{other vegetables,whole milk}","{yogurt}",0.0222674123029995,0.297554347826087,2.13297887089618
"{whipped/sour cream}","{other vegetables}",0.0288764616166751,0.402836879432624,2.08192365171827
"{whipped/sour cream}","{yogurt}",0.0207422470767667,0.28936170212766,2.07425097698654
"{whole milk,yogurt}","{other vegetables}",0.0222674123029995,0.397459165154265,2.05413078785717
"{other vegetables,yogurt}","{whole milk}",0.0222674123029995,0.51288056206089,2.00723451168677
"{tropical fruit}","{yogurt}",0.0292831723436706,0.27906976744186,2.00047460844803
"{butter}","{whole milk}",0.02755465175394,0.497247706422018,1.94605300145665
"{pork}","{other vegetables}",0.0216573462125064,0.375661375661376,1.94147642124521
"{curd}","{whole milk}",0.026131164209456,0.490458015267176,1.91948053328797
"{other vegetables,root vegetables}","{whole milk}",0.0231825114387392,0.489270386266094,1.91483257020575
"{citrus fruit}","{yogurt}",0.0216573462125064,0.261670761670762,1.87575214360929
"{butter}","{other vegetables}",0.0200305033045247,0.361467889908257,1.86812227916327
"{domestic eggs}","{whole milk}",0.0299949161159126,0.47275641025641,1.85020266409542
"{domestic eggs}","{other vegetables}",0.0222674123029995,0.350961538461538,1.81382382068798
"{citrus fruit}","{other vegetables}",0.0288764616166751,0.348894348894349,1.80314026346606
"{pip fruit}","{other vegetables}",0.026131164209456,0.345430107526882,1.78523652523746
"{sausage}","{rolls/buns}",0.0306049822064057,0.325757575757576,1.7710479588589
"{tropical fruit}","{other vegetables}",0.0358922216573462,0.342054263565891,1.7677896385552
"{whipped/sour cream}","{whole milk}",0.0322318251143874,0.449645390070922,1.75975424247812
"{root vegetables}","{whole milk}",0.0489069649211998,0.448694029850746,1.75603095247994
"{frozen vegetables}","{whole milk}",0.0204372140315201,0.424947145877378,1.66309398316913
"{margarine}","{whole milk}",0.0241992882562278,0.413194444444444,1.61709803466419
"{yogurt}","{other vegetables}",0.0434163701067616,0.311224489795918,1.6084565723294
"{beef}","{whole milk}",0.0212506354855109,0.405038759689922,1.58517954697588
"{tropical fruit}","{whole milk}",0.0422979156075241,0.403100775193798,1.57759495584202
"{yogurt}","{whole milk}",0.0560244026436197,0.401603498542274,1.57173514053453
"{pip fruit}","{whole milk}",0.0300965937976614,0.397849462365591,1.55704316051158
"{brown bread}","{whole milk}",0.0252160650737163,0.38871473354232,1.5212930379581
"{other vegetables}","{whole milk}",0.0748347737671581,0.386757750919601,1.51363409482462
"{whole milk}","{other vegetables}",0.0748347737671581,0.292877039395145,1.51363409482462
"{pork}","{whole milk}",0.0221657346212506,0.384479717813051,1.5047186727781
"{fruit/vegetable juice}","{other vegetables}",0.0210472801220132,0.291139240506329,1.50465287986324
"{bottled water}","{soda}",0.028978139298424,0.262189512419503,1.50357659163021
"{sausage}","{soda}",0.0243009659379766,0.258658008658009,1.48332449863062
"{sausage}","{other vegetables}",0.0269445856634469,0.286796536796537,1.48220911161006
"{pastry}","{whole milk}",0.033248601931876,0.373714285714286,1.46258654994031
"{citrus fruit}","{whole milk}",0.0305033045246568,0.368550368550369,1.44237679056621
"{fruit/vegetable juice}","{whole milk}",0.0266395526182003,0.368495077355837,1.44216040023663
"{frankfurter}","{whole milk}",0.0205388917132689,0.348275862068965,1.36302948804149
"{newspapers}","{whole milk}",0.0273512963904423,0.342675159235669,1.34111030285826
"{pastry}","{other vegetables}",0.0225724453482461,0.253714285714286,1.31123489227535
"{sausage}","{whole milk}",0.0298932384341637,0.318181818181818,1.24525196252216
"{bottled water}","{whole milk}",0.0343670564311134,0.310947562097516,1.21693962325072
"{rolls/buns}","{whole milk}",0.0566344687341129,0.307904919845218,1.20503178936638
"{bottled beer}","{whole milk}",0.0204372140315201,0.253787878787879,0.993236684392673
