"itemset","support","count"
"{other vegetables,whole milk}",0.0748347737671581,736
"{rolls/buns,whole milk}",0.0566344687341129,557
"{whole milk,yogurt}",0.0560244026436197,551
"{root vegetables,whole milk}",0.0489069649211998,481
"{other vegetables,root vegetables}",0.047381799694967,466
"{other vegetables,yogurt}",0.0434163701067616,427
"{other vegetables,rolls/buns}",0.0426029486527707,419
"{tropical fruit,whole milk}",0.0422979156075241,416
"{soda,whole milk}",0.0400610066090493,394
"{rolls/buns,soda}",0.0383324860193188,377
"{other vegetables,tropical fruit}",0.0358922216573462,353
"{bottled water,whole milk}",0.0343670564311134,338
"{rolls/buns,yogurt}",0.0343670564311134,338
"{pastry,whole milk}",0.033248601931876,327
"{other vegetables,soda}",0.0327402135231317,322
"{whipped/sour cream,whole milk}",0.0322318251143874,317
"{rolls/buns,sausage}",0.0306049822064057,301
"{citrus fruit,whole milk}",0.0305033045246568,300
"{pip fruit,whole milk}",0.0300965937976614,296
"{domestic eggs,whole milk}",0.0299949161159126,295
"{sausage,whole milk}",0.0298932384341637,294
"{tropical fruit,yogurt}",0.0292831723436706,288
"{bottled water,soda}",0.028978139298424,285
"{other vegetables,whipped/sour cream}",0.0288764616166751,284
"{citrus fruit,other vegetables}",0.0288764616166751,284
"{butter,whole milk}",0.02755465175394,271
"{newspapers,whole milk}",0.0273512963904423,269
"{soda,yogurt}",0.0273512963904423,269
"{other vegetables,sausage}",0.0269445856634469,265
"{fruit/vegetable juice,whole milk}",0.0266395526182003,262
"{curd,whole milk}",0.026131164209456,257
"{other vegetables,pip fruit}",0.026131164209456,257
"{root vegetables,yogurt}",0.0258261311642095,254
"{brown bread,whole milk}",0.0252160650737163,248
"{bottled water,other vegetables}",0.0248093543467209,244
"{shopping bags,soda}",0.0246059989832232,242
"{rolls/buns,tropical fruit}",0.0246059989832232,242
"{shopping bags,whole milk}",0.0245043213014743,241
"{sausage,soda}",0.0243009659379766,239
"{rolls/buns,root vegetables}",0.0243009659379766,239
"{margarine,whole milk}",0.0241992882562278,238
"{bottled water,rolls/buns}",0.0241992882562278,238
"{other vegetables,shopping bags}",0.0231825114387392,228
"{other vegetables,root vegetables,whole milk}",0.0231825114387392,228
"{bottled water,yogurt}",0.0229791560752415,226
"{other vegetables,pastry}",0.0225724453482461,222
"{domestic eggs,other vegetables}",0.0222674123029995,219
"{other vegetables,whole milk,yogurt}",0.0222674123029995,219
"{pork,whole milk}",0.0221657346212506,218
"{other vegetables,pork}",0.0216573462125064,213
"{citrus fruit,yogurt}",0.0216573462125064,213
"{beef,whole milk}",0.0212506354855109,209
"{fruit/vegetable juice,other vegetables}",0.0210472801220132,207
"{pastry,soda}",0.0210472801220132,207
"{root vegetables,tropical fruit}",0.0210472801220132,207
"{pastry,rolls/buns}",0.0209456024402644,206
"{soda,tropical fruit}",0.0208439247585155,205
"{whipped/sour cream,yogurt}",0.0207422470767667,204
"{frankfurter,whole milk}",0.0205388917132689,202
"{frozen vegetables,whole milk}",0.0204372140315201,201
"{bottled beer,whole milk}",0.0204372140315201,201
"{pip fruit,tropical fruit}",0.0204372140315201,201
"{butter,other vegetables}",0.0200305033045247,197
