idquest,target,s0q1,s0q2,s0q3,s0q4,s2q1,s2q2,s2q3,s2q4,s2q5,s2q6,s2q7_1,s2q7_2,s2q7_3,s2q15_1,s2q15_2,s2q15_3,dummy_cropping_B,cropping,s6q1_1,s6q1_2_1,s6q1_2_2,s6q1_2_3,s6q1_3,s6q1_4_1,s6q1_4_2,s6q1_4_3,s6q2_1,s6q2_2_1,s9q9_1,s9q9_2,s9q9_3,s9q9_4_1,s9q9_4_2,s9q9_5_1,s9q9_5_2,s9q9_5_3,s9q9_6,s9q9_7,s9q9_8,s9q9_9,s9q9_10,s9q9_11,s9q9_12,s9q9_13,s9q9_14,s9q9_15,s9q9_16,s9q9_17,s9q9_18_1,s9q9_18_2,s9q9_19,s9q9_20,s9q9_21,s9q9_22,s9q9_23,s9q9_24,s9q9_25,s9q9_26,s9q9_27,s9q9_28
11110200101.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,Yes,No,No,No,Bush bean,Cassava,Maize,Bush bean,Maize,Sweet potato,1.0,1.0,No,,,,Yes,loss of top soil,reduction of the yield over time,,No,,Local goats,Yes,14.0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,1.0,20000.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110200401.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,No,No,No,No,No,,,,Bush bean,Maize,,1.0,1.0,Yes,Water drainage,,,No,loss of top soil,reduction of the yield over time,,No,,Rabbits,Yes,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110200501.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,No,Bush bean,Maize,,Bush bean,Maize,,1.0,1.0,No,,,,No,loss of top soil,,,No,,Rabbits,Yes,9.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110200601.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,Yes,No,No,Bush bean,Maize,,,,,2.0,1.0,No,,,,Don't know,reduction of the yield over time,,,No,,Local cattle,Yes,1.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110200701.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,No,Yes,No,No,No,,,,,,,2.0,2.0,No,,,,No,,,,No,,Exotic Cattle,Yes,3.0,0,0,2,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110200801.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,Yes,No,No,Maize,Bush bean,Cassava,Bush bean,,,1.0,1.0,No,,,,No,loss of top soil,,,No,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110200901.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,No,Yes,No,No,No,,,,,,,2.0,2.0,No,,,,No,,,,No,,Hybrid cattle,Yes,2.0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110201101.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,Yes,No,No,Bush bean,Sweet potato,Cassava,Bush bean,Sweet potato,Cassava,1.0,1.0,Yes,progressive terraces,Cover plants/grasses,,Yes,loss of top soil,reduction of the yield over time,,Yes,Traditional  technique,Local goats,Yes,1.0,0,0,1,0,0,0.0,1.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110201301.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,Yes,No,No,Tomato,Bush bean,Sweet potato,Tomato,Bush bean,Groundnut,1.0,1.0,No,,,,No,loss of top soil,,,No,,Hybrid cattle,Yes,20.0,0,3,3,1,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,12.0,5.0,3000.0,0.0,0.0,7.0,2.0,2.0,80.0,0.0,0.0
11110201401.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,No,No,No,No,No,,,,,,,2.0,2.0,No,,,,Don't know,,,,No,,Local cattle,Yes,4.0,0,0,2,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110201501.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,Yes,No,No,Bush bean,Maize,,Bush bean,Maize,,1.0,1.0,No,,,,Don't know,loss of top soil,reduction of the yield over time,,No,,Local cattle,Yes,2.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110201701.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,No,Bush bean,Maize,Sweet potato,Maize,Bush bean,Soybean ,1.0,1.0,No,,,,Yes,loss of top soil,,,No,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110201801.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,Yes,No,No,No,Bush bean,Maize,Dessert banana,Bush bean,Maize,Dessert banana,1.0,1.0,Yes,Trees/Wind break/Shelterbelt,,,No,,,,No,,Rabbits,Yes,7.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110201901.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,No,Bush bean,Banana for beer,Cassava,Bush bean,Banana for beer,,1.0,1.0,No,,,,Yes,loss of top soil,reduction of the yield over time,,No,,Hybrid cattle,Yes,2.0,0,0,2,0,0,0.0,1.0,12000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110202001.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,No,Bush bean,Maize,Tomato,Bush bean,Maize,Tomato,1.0,1.0,Yes,Trenches (imiringoti),Cover plants/grasses,,No,loss of top soil,reduction of the yield over time,,No,,Local cattle,Yes,25.0,0,1,2,1,1,2.0,0.0,0.0,0.0,0.0,1.0,160000.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,5000.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
11110202101.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,No,Bush bean,,,Bush bean,Maize,Groundnut,1.0,1.0,No,,,,Yes,loss of top soil,reduction of the yield over time,,No,,Hybrid cattle,Yes,7.0,0,1,1,1,2,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0
11110202201.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,Yes,No,No,Bush bean,Sweet potato,Tomato,Bush bean,Sweet potato,Tomato,1.0,1.0,Yes,Mulching,,,Yes,loss of top soil,reduction of the yield over time,,Yes,Traditional  technique,Local hen,Yes,25.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,500.0,2.0,0.0,18.0,4.0,0.0,0.0,2.0,0.0
11110202301.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,Yes,No,No,No,Climbing bean,Cassava,Coffee,Maize,Tomato,Coffee,1.0,1.0,Yes,Cover plants/grasses,,,No,reduction of the yield over time,,,No,,Local goats,Yes,19.0,0,2,1,0,1,0.0,1.0,16000.0,0.0,0.0,3.0,47000.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110202401.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,Yes,No,Maize,Bush bean,Cooking banana,Maize,Bush bean,,1.0,1.0,No,,,,No,loss of top soil,,,No,,Local hen,Yes,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,3.0,3.0,120.0,0.0,0.0
11110202402.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,No,Maize,Bush bean,Tomato,Tomato,Maize,Bush bean,1.0,1.0,No,,,,No,loss of top soil,,,No,,Hybrid cattle,Yes,4.0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110202601.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,Yes,No,No,Bush bean,Sweet potato,Cassava,Bush bean,Sweet potato,,1.0,1.0,No,,,,Don't know,reduction of the yield over time,,,No,,Local goats,Yes,5.0,0,2,2,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110202801.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,No,Bush bean,Sweet potato,Irish potato,Irish potato,Bush bean,Tomato,1.0,1.0,Yes,Trenches (imiringoti),Cover plants/grasses,,No,reduction of the yield over time,,,No,,Local hen,Yes,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110202902.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,Yes,Bush bean,,,,,,2.0,1.0,No,,,,No,loss of top soil,,,No,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110203001.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,No,Bush bean,Tomato,,Bush bean,Sorghum,Tomato,1.0,1.0,No,,,,Yes,loss of top soil,reduction of the yield over time,,No,,Local goats,Yes,12.0,1,2,2,0,2,4.0,0.0,0.0,0.0,0.0,1.0,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,2.0,100.0,0.0,0.0
11110203101.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,No,No,No,No,No,,,,Bush bean,,,1.0,1.0,No,,,,No,loss of top soil,,,No,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110203301.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,Yes,No,No,Bush bean,Maize,Cassava,Tomato,Eggplant,Bush bean,1.0,1.0,Yes,Cover plants/grasses,progressive terraces,,No,reduction of the yield over time,loss of top soil,,Yes,Sprinkler irrigation,Local goats,Yes,5.0,0,1,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110203501.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,No,Sweet potato,Cassava,,Cassava,,,1.0,1.0,Yes,Beds/ridges,Cover plants/grasses,,Yes,loss of top soil,,,No,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110203601.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,No,Bush bean,Maize,Cassava,Bush bean,Maize,Tomato,1.0,1.0,Yes,Mulching,Cover plants/grasses,,Yes,loss of top soil,,,Yes,Surface irrigation,Local goats,Yes,4.0,0,1,2,0,1,2.0,1.0,25000.0,0.0,0.0,2.0,40000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110203801.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,Yes,No,No,Bush bean,Banana for beer,,Bush bean,Banana for beer,Groundnut,1.0,1.0,Yes,Trenches (imiringoti),Cover plants/grasses,,Yes,change in soil color,reduction of the yield over time,,No,,Local goats,Yes,4.0,0,0,1,0,3,3.0,1.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110203901.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,No,Bush bean,Maize,Banana for beer,Bush bean,Maize,Banana for beer,1.0,1.0,Yes,progressive terraces,Cover plants/grasses,,No,,,,No,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110204001.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,Yes,Bush bean,,,Cassava,Bush bean,Tomato,1.0,1.0,Yes,progressive terraces,Cover plants/grasses,,No,reduction of the yield over time,,,No,,Local hen,Yes,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0
11110204101.0,1,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,Yes,No,Yes,Bush bean,Tomato,Maize,Maize,Bush bean,Groundnut,1.0,1.0,No,,,,No,reduction of the yield over time,,,No,,Local cattle,Yes,18.0,0,5,2,0,2,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2500.0,0.0,0.0,5.0,2.0,2.0,80.0,0.0,0.0
11110204301.0,0,Kigali,Nyarugenge,Intensive cropland on hillsides,2,No,Yes,No,No,No,Yes,Bush bean,Cassava,Maize,Maize,Bush bean,,1.0,1.0,No,,,,No,,,,No,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
